time,flappyHeight,flappyX,verticalSpeed,distToRoof,nearest_dx,nearest_y,action
0.89155084,0.430503,0.200000,0.099987,0.569497,0.446711,0.584053,0
0.89988416,0.432100,0.200000,0.095820,0.567900,0.443377,0.584053,0
0.9082175,0.433627,0.200000,0.091653,0.566373,0.440044,0.584053,0
0.9165508,0.435086,0.200000,0.087487,0.564914,0.436711,0.584053,0
0.92488414,0.436474,0.200000,0.083320,0.563526,0.433377,0.584053,0
0.93321747,0.437793,0.200000,0.079153,0.562207,0.430044,0.584053,0
0.9415508,0.439043,0.200000,0.074987,0.560957,0.426711,0.584053,0
0.9498841,0.440224,0.200000,0.070820,0.559776,0.423377,0.584053,0
0.95821744,0.441334,0.200000,0.066653,0.558666,0.420044,0.584053,0
0.96655077,0.442376,0.200000,0.062487,0.557624,0.416711,0.584053,0
0.9748841,0.443348,0.200000,0.058320,0.556652,0.413377,0.584053,0
0.9835174,0.444250,0.200000,0.054153,0.555750,0.410044,0.584053,0
0.99185073,0.445111,0.200000,0.049837,0.554889,0.406591,0.584053,0
1.000184,0.445872,0.200000,0.045670,0.554128,0.403257,0.584053,0
1.0085174,0.446564,0.200000,0.041503,0.553436,0.399924,0.584053,0
1.0168507,0.447186,0.200000,0.037337,0.552814,0.396591,0.584053,0
1.025184,0.447739,0.200000,0.033170,0.552261,0.393257,0.584053,0
1.0335174,0.448222,0.200000,0.029003,0.551778,0.389924,0.584053,0
1.0418507,0.448636,0.200000,0.024837,0.551364,0.386591,0.584053,0
1.050184,0.448981,0.200000,0.020670,0.551019,0.383257,0.584053,1
1.0585173,0.453078,0.200000,0.245833,0.546922,0.379924,0.584053,0
1.0668507,0.457106,0.200000,0.241667,0.542894,0.376591,0.584053,0
1.075184,0.461064,0.200000,0.237500,0.538936,0.373258,0.584053,0
1.0835173,0.464953,0.200000,0.233333,0.535047,0.369924,0.584053,0
1.0918506,0.468772,0.200000,0.229167,0.531228,0.366591,0.584053,0
1.100184,0.472522,0.200000,0.225000,0.527478,0.363258,0.584053,0
1.1085173,0.476203,0.200000,0.220833,0.523797,0.359924,0.584053,0
1.1168506,0.479814,0.200000,0.216667,0.520186,0.356591,0.584053,0
1.1251839,0.483356,0.200000,0.212500,0.516644,0.353258,0.584053,0
1.1335173,0.486828,0.200000,0.208333,0.513172,0.349924,0.584053,0
1.1418506,0.490231,0.200000,0.204167,0.509769,0.346591,0.584053,0
1.1501839,0.493564,0.200000,0.200000,0.506436,0.343258,0.584053,0
1.1585172,0.496828,0.200000,0.195833,0.503172,0.339924,0.584053,0
1.1668506,0.500022,0.200000,0.191667,0.499978,0.336591,0.584053,0
1.1751839,0.503147,0.200000,0.187500,0.496853,0.333258,0.584053,0
1.1835172,0.506203,0.200000,0.183333,0.493797,0.329924,0.584053,0
1.1918505,0.509189,0.200000,0.179167,0.490811,0.326591,0.584053,0
1.2001839,0.512106,0.200000,0.175000,0.487894,0.323258,0.584053,0
1.2085172,0.514953,0.200000,0.170833,0.485047,0.319924,0.584053,0
1.2168505,0.517731,0.200000,0.166667,0.482269,0.316591,0.584053,0
1.2251838,0.520439,0.200000,0.162500,0.479561,0.313258,0.584053,0
1.2335172,0.523078,0.200000,0.158333,0.476922,0.309924,0.584053,0
1.2418505,0.525647,0.200000,0.154167,0.474353,0.306591,0.584053,0
1.2501838,0.528147,0.200000,0.150000,0.471853,0.303258,0.584053,0
1.2585171,0.530578,0.200000,0.145833,0.469422,0.299924,0.584053,0
1.2668505,0.532939,0.200000,0.141667,0.467061,0.296591,0.584053,0
1.2751838,0.535231,0.200000,0.137500,0.464769,0.293258,0.584053,0
1.2835171,0.537453,0.200000,0.133333,0.462547,0.289925,0.584053,0
1.2918504,0.539606,0.200000,0.129167,0.460394,0.286591,0.584053,0
1.3001838,0.541689,0.200000,0.125000,0.458311,0.283258,0.584053,0
1.3085171,0.543703,0.200000,0.120833,0.456297,0.279925,0.584053,0
1.3168504,0.545647,0.200000,0.116667,0.454353,0.276591,0.584053,0
1.3251837,0.547522,0.200000,0.112500,0.452478,0.273258,0.584053,0
1.3335171,0.549328,0.200000,0.108333,0.450672,0.269925,0.584053,0
1.3418504,0.551064,0.200000,0.104167,0.448936,0.266591,0.584053,0
1.3501837,0.552731,0.200000,0.100000,0.447269,0.263258,0.584053,0
1.358517,0.554328,0.200000,0.095833,0.445672,0.259925,0.584053,0
1.3668504,0.555856,0.200000,0.091667,0.444144,0.256591,0.584053,0
1.3751837,0.557314,0.200000,0.087500,0.442686,0.253258,0.584053,0
1.383517,0.558703,0.200000,0.083333,0.441297,0.249925,0.584053,0
1.3918504,0.560022,0.200000,0.079167,0.439978,0.246591,0.584053,0
1.4001837,0.561272,0.200000,0.075000,0.438728,0.243258,0.584053,0
1.408517,0.562453,0.200000,0.070833,0.437547,0.239925,0.584053,0
1.4168503,0.563564,0.200000,0.066667,0.436436,0.236591,0.584053,0
1.4251837,0.564606,0.200000,0.062500,0.435394,0.233258,0.584053,0
1.433517,0.565578,0.200000,0.058333,0.434422,0.229925,0.584053,0
1.4418503,0.566481,0.200000,0.054167,0.433519,0.226591,0.584053,0
1.4501836,0.567314,0.200000,0.050000,0.432686,0.223258,0.584053,0
1.458517,0.568078,0.200000,0.045833,0.431922,0.219925,0.584053,0
1.4668503,0.568772,0.200000,0.041667,0.431228,0.216591,0.584053,0
1.4751836,0.569397,0.200000,0.037500,0.430603,0.213258,0.584053,0
1.4835169,0.569953,0.200000,0.033333,0.430047,0.209925,0.584053,1
1.4918503,0.574050,0.200000,0.245833,0.425950,0.206591,0.584053,0
1.5001836,0.578078,0.200000,0.241667,0.421922,0.203258,0.584053,0
1.5085169,0.582036,0.200000,0.237500,0.417964,0.199925,0.584053,0
1.5168502,0.585925,0.200000,0.233333,0.414075,0.196592,0.584053,0
1.5251836,0.589745,0.200000,0.229167,0.410255,0.193258,0.584053,0
1.5335169,0.593495,0.200000,0.225000,0.406505,0.189925,0.584053,0
1.5418502,0.597175,0.200000,0.220833,0.402825,0.186592,0.584053,0
1.5501835,0.600786,0.200000,0.216667,0.399214,0.183258,0.584053,0
1.5585169,0.604328,0.200000,0.212500,0.395672,0.179925,0.584053,0
1.5668502,0.607800,0.200000,0.208333,0.392200,0.176592,0.584053,0
1.5751835,0.611203,0.200000,0.204167,0.388797,0.173258,0.584053,0
1.5835168,0.614536,0.200000,0.200000,0.385464,0.169925,0.584053,0
1.5918502,0.617800,0.200000,0.195833,0.382200,0.166592,0.584053,0
1.6001835,0.620995,0.200000,0.191667,0.379005,0.163258,0.584053,0
1.6085168,0.624120,0.200000,0.187500,0.375880,0.159925,0.584053,0
1.6168501,0.627175,0.200000,0.183333,0.372825,0.156592,0.584053,0
1.6251835,0.630161,0.200000,0.179167,0.369839,0.153258,0.584053,0
1.6335168,0.633078,0.200000,0.175000,0.366922,0.149925,0.584053,0
1.6418501,0.635925,0.200000,0.170833,0.364075,0.146592,0.584053,0
1.6501834,0.638703,0.200000,0.166667,0.361297,0.143258,0.584053,0
1.6585168,0.641411,0.200000,0.162500,0.358589,0.139925,0.584053,0
1.6668501,0.644050,0.200000,0.158333,0.355950,0.136592,0.584053,0
1.6751834,0.646620,0.200000,0.154167,0.353380,0.133258,0.584053,0
1.6835167,0.649120,0.200000,0.150000,0.350880,0.129925,0.584053,0
1.6918501,0.651550,0.200000,0.145833,0.348450,0.126592,0.584053,0
1.7001834,0.653911,0.200000,0.141667,0.346089,0.123258,0.584053,0
1.7085167,0.656203,0.200000,0.137500,0.343797,0.119925,0.584053,0
1.71685,0.658425,0.200000,0.133333,0.341575,0.116592,0.584053,0
1.7251834,0.660578,0.200000,0.129167,0.339422,0.113258,0.584053,0
1.7335167,0.662661,0.200000,0.125000,0.337339,0.109925,0.584053,0
1.74185,0.664675,0.200000,0.120833,0.335325,0.106592,0.584053,0
1.7501833,0.666620,0.200000,0.116667,0.333380,0.103258,0.584053,0
1.7585167,0.668495,0.200000,0.112500,0.331505,0.099925,0.584053,0
1.76685,0.670300,0.200000,0.108333,0.329700,0.096592,0.584053,0
1.7751833,0.672036,0.200000,0.104167,0.327964,0.093258,0.584053,0
1.7835166,0.673703,0.200000,0.100000,0.326297,0.089925,0.584053,0
1.79185,0.675300,0.200000,0.095833,0.324700,0.086592,0.584053,0
1.8001833,0.676828,0.200000,0.091667,0.323172,0.083258,0.584053,0
1.8085166,0.678286,0.200000,0.087500,0.321714,0.079925,0.584053,0
1.81685,0.679675,0.200000,0.083333,0.320325,0.076592,0.584053,0
1.8251833,0.680995,0.200000,0.079167,0.319005,0.073258,0.584053,0
1.8335166,0.682245,0.200000,0.075000,0.317755,0.069925,0.584053,0
1.8418499,0.683425,0.200000,0.070833,0.316575,0.066592,0.584053,0
1.8501832,0.684536,0.200000,0.066667,0.315464,0.063258,0.584053,0
1.8585166,0.685578,0.200000,0.062500,0.314422,0.059925,0.584053,0
1.8668499,0.686550,0.200000,0.058333,0.313450,0.056592,0.584053,0
1.8751832,0.687453,0.200000,0.054167,0.312547,0.053258,0.584053,0
1.8835166,0.688286,0.200000,0.050000,0.311714,0.049925,0.584053,0
1.8918499,0.689050,0.200000,0.045833,0.310950,0.046592,0.584053,0
1.9001832,0.689745,0.200000,0.041667,0.310255,0.043258,0.584053,0
1.9085165,0.690370,0.200000,0.037500,0.309630,0.039925,0.584053,0
1.9168499,0.690925,0.200000,0.033333,0.309075,0.036592,0.584053,0
1.9251832,0.691411,0.200000,0.029167,0.308589,0.033258,0.584053,0
1.9335165,0.691828,0.200000,0.025000,0.308172,0.029925,0.584053,0
1.9418498,0.692175,0.200000,0.020833,0.307825,0.026592,0.584053,0
1.9501832,0.692453,0.200000,0.016667,0.307547,0.023258,0.584053,0
